"BASIN","CY","YYYYMMDDHH","TECHNUM","TECH","TAU","Lat","Lon","VMAX","MSLP","TY","RAD","WINDCODE","RAD1","RAD2","RAD3","RAD4","POUTER","ROUTER","RMW","GUSTS","EYE","SUBREGION","MAXSEAS","INITIALS","DIR","SPEED","STORMNAME","DEPTH","SEAS","SEASCODE","SEAS1","SEAS2","SEAS3","SEAS4","USERDEFINED","userdata","Lat.DD","Lon.DD","DateTime","DateTime.EST","Date"
"AL","09","2024092118","","BEST","0","136N","827W","20","1007","DB","0","","0","0","0","0","1009","180","120","0","0","L","0","","0","0","GENESIS023","","0","","0","0","0","0","genesis-num","023",13.6,-82.7,2024-09-21 18:00:00,2024-09-21 13:00:00,2024-09-21
"AL","09","2024092200","","BEST","0","140N","826W","20","1007","DB","0","","0","0","0","0","1009","180","120","0","0","L","0","","0","0","GENESIS023","","0","","0","0","0","0","genesis-num","023",14,-82.6,2024-09-22 00:00:00,2024-09-21 19:00:00,2024-09-22
"AL","09","2024092206","","BEST","0","144N","826W","20","1007","DB","0","","0","0","0","0","1009","180","120","0","0","L","0","","0","0","GENESIS023","","0","","0","0","0","0","genesis-num","023",14.4,-82.6,2024-09-22 06:00:00,2024-09-22 01:00:00,2024-09-22
"AL","09","2024092212","","BEST","0","148N","826W","20","1007","DB","0","","0","0","0","0","1009","180","120","0","0","L","0","","0","0","GENESIS023","","0","","0","0","0","0","genesis-num","023",14.8,-82.6,2024-09-22 12:00:00,2024-09-22 07:00:00,2024-09-22
"AL","09","2024092218","","BEST","0","152N","826W","20","1007","DB","0","","0","0","0","0","1009","180","120","0","0","L","0","","0","0","INVEST","S","0","","0","0","0","0","genesis-num","023",15.2,-82.6,2024-09-22 18:00:00,2024-09-22 13:00:00,2024-09-22
"AL","09","2024092300","","BEST","0","156N","825W","20","1006","DB","0","","0","0","0","0","1008","180","120","0","0","L","0","","0","0","INVEST","S","0","","0","0","0","0","genesis-num","023",15.6,-82.5,2024-09-23 00:00:00,2024-09-22 19:00:00,2024-09-23
"AL","09","2024092306","","BEST","0","160N","820W","25","1005","DB","0","","0","0","0","0","1008","200","120","35","0","L","0","","0","0","INVEST","S","0","","0","0","0","0","genesis-num","023",16,-82,2024-09-23 06:00:00,2024-09-23 01:00:00,2024-09-23
"AL","09","2024092312","","BEST","0","172N","818W","25","1004","DB","0","","0","0","0","0","1008","200","120","35","0","L","0","","0","0","NINE","S","0","","0","0","0","0","genesis-num","023",17.2,-81.8,2024-09-23 12:00:00,2024-09-23 07:00:00,2024-09-23
"AL","09","2024092318","","BEST","0","179N","819W","30","1004","DB","0","","0","0","0","0","1008","200","100","40","0","L","0","","0","0","NINE","S","0","","0","0","0","0","genesis-num","023",17.9,-81.9,2024-09-23 18:00:00,2024-09-23 13:00:00,2024-09-23
"AL","09","2024092400","","BEST","0","182N","821W","30","1002","DB","0","","0","0","0","0","1007","150","100","40","0","L","0","","0","0","NINE","S","0","","0","0","0","0","genesis-num","023",18.2,-82.1,2024-09-24 00:00:00,2024-09-23 19:00:00,2024-09-24
