"BASIN","CY","YYYYMMDDHH","TECHNUM","TECH","TAU","Lat","Lon","VMAX","MSLP","TY","RAD","WINDCODE","RAD1","RAD2","RAD3","RAD4","POUTER","ROUTER","RMW","GUSTS","EYE","SUBREGION","MAXSEAS","INITIALS","DIR","SPEED","STORMNAME","DEPTH","SEAS","SEASCODE","SEAS1","SEAS2","SEAS3","SEAS4","USERDEFINED","userdata","Lat.DD","Lon.DD","DateTime","DateTime.EST","Date"
"AL","14","2024100400","","BEST","0","206N","947W","25","0","DB","0","","0","0","0","0","1011","180","60","0","0","L","0","","0","0","GENESIS028","","0","","0","0","0","0","genesis-num","028",20.6,-94.7,2024-10-04 00:00:00,2024-10-03 19:00:00,2024-10-04
"AL","14","2024100406","","BEST","0","207N","949W","25","0","DB","0","","0","0","0","0","1011","180","60","0","0","L","0","","0","0","GENESIS028","","0","","0","0","0","0","genesis-num","028",20.7,-94.9,2024-10-04 06:00:00,2024-10-04 01:00:00,2024-10-04
"AL","14","2024100412","","BEST","0","208N","950W","25","0","DB","0","","0","0","0","0","1011","180","60","0","0","L","0","","0","0","GENESIS028","","0","","0","0","0","0","genesis-num","028",20.8,-95,2024-10-04 12:00:00,2024-10-04 07:00:00,2024-10-04
"AL","14","2024100418","","BEST","0","209N","951W","25","0","DB","0","","0","0","0","0","1011","180","60","0","0","L","0","","0","0","GENESIS028","","0","","0","0","0","0","genesis-num","028",20.9,-95.1,2024-10-04 18:00:00,2024-10-04 13:00:00,2024-10-04
"AL","14","2024100500","","BEST","0","211N","952W","30","1009","DB","0","","0","0","0","0","1011","200","60","0","0","L","0","","0","0","INVEST","S","0","","0","0","0","0","genesis-num","028",21.1,-95.2,2024-10-05 00:00:00,2024-10-04 19:00:00,2024-10-05
"AL","14","2024100506","","BEST","0","216N","954W","30","1009","DB","0","","0","0","0","0","1011","150","50","40","0","L","0","","0","0","INVEST","S","0","","0","0","0","0","genesis-num","028",21.6,-95.4,2024-10-05 06:00:00,2024-10-05 01:00:00,2024-10-05
"AL","14","2024100512","","BEST","0","221N","955W","30","1007","TD","0","","0","0","0","0","1010","150","50","40","0","L","0","","0","0","FOURTEEN","S","0","","0","0","0","0","genesis-num","028",22.1,-95.5,2024-10-05 12:00:00,2024-10-05 07:00:00,2024-10-05
"AL","14","2024100518","","BEST","0","225N","955W","35","1006","TS","34","NEQ","20","30","30","20","1011","140","20","45","0","L","0","","0","0","MILTON","M","0","","0","0","0","0","genesis-num","028",22.5,-95.5,2024-10-05 18:00:00,2024-10-05 13:00:00,2024-10-05
"AL","14","2024100600","","BEST","0","227N","955W","35","1006","TS","34","NEQ","20","30","30","20","1010","140","20","45","0","L","0","","0","0","MILTON","M","12","NEQ","0","30","30","0","genesis-num","028",22.7,-95.5,2024-10-06 00:00:00,2024-10-05 19:00:00,2024-10-06
"AL","14","2024100606","","BEST","0","226N","952W","45","1000","TS","34","NEQ","20","30","30","20","1010","140","20","50","0","L","0","","0","0","MILTON","M","12","NEQ","30","60","0","0","genesis-num","028",22.6,-95.2,2024-10-06 06:00:00,2024-10-06 01:00:00,2024-10-06
