latitude,longitude,eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,sitePriorityName,networkNames,stateName,countyName,siteZone,sitePermHousing,site_latitude,site_longitude,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,latitude_dd,longitude_dd,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,approval_id,marker_id,height_above_gnd,hcollect_method_id,peak_summary_id,hwm_notes,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,uncertainty,hwm_uncertainty,hwm_label,last_updated,last_updated_by,horizontal_datums,vertical_collect_methods,horizontal_collect_methods,hwm_types,hwm_qualities,event,peak_summary,survey_member,marker,approval,files,site,vertical_datums,flag_member,Links
27.265787,-82.551233,2022 Ian,Debris,Poor: +/- 0.40 ft,NAVD88,Level Gun,,,Map (digital or paper),WGS84 (from Digital Map),Corin Downs,Corin Downs,FLSAR03549,Siesta Key Municipal Park,,Gulf of Mexico,FL,Sarasota County,0,Yes,27.266917,-82.550611,43590,Gulf of Mexico,3549,325,2,4,Debris line/mud line on beach 15 feet south of the end of the beach entrance pathway,27.265787,-82.551233,10/1/2022 4:00:00 AM,4.12,2,2,N/A,,,0,4,,,Coastal,10/1/2022 4:00:00 AM,0,4,101,101,,,HWM-1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
27.113984,-82.465796,2022 Ian,Debris,Poor: +/- 0.40 ft,NAVD88,Level Gun,Kevin Grimsley,Not marked,Map (digital or paper),WGS84 (from Digital Map),Corin Downs,Corin Downs,FLSAR03562,North Jetty Fish Camp,,Gulf of Mexico,FL,Sarasota County,0,Yes,27.11365,-82.46627,43591,Roberts Bay near Inlet to Gulf,3562,325,2,4,Poor debris line. Accuracy is poor. Likely caused by strong west winds blowing water from the bay towards the gulf as the storm approached.,27.113984,-82.465796,10/1/2022 4:00:00 AM,1.78,2,2,N/A,27079,8,0,4,,,Riverine,10/1/2022 4:00:00 AM,0,4,101,101,,,HWM-1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
29.286538,-81.054583,2022 Ian,Debris,Good: +/- 0.10 ft,NAVD88,Level Gun,Patrick Ryan,,Map (digital or paper),WGS84 (from Digital Map),Corin Downs,Corin Downs,FLVOL03138,Cassen Park,,South Atlantic,FL,Volusia County,0,No,29.2866666666666,-81.0546388888888,43602,Halifax River,3138,325,2,2,Debris line on walkway. Elevation 4.311 from levels.,29.286538,-81.054583,10/1/2022 4:00:00 AM,4.31,2,2,N/A,27060,,0.05,4,,,Riverine,10/1/2022 4:00:00 AM,0,4,101,101,,,HWM-1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
29.2866666666666,-81.0546388888888,2022 Ian,Seed line,Excellent: +/- 0.05 ft,NAVD88,Level Gun,Patrick Ryan,,Map (digital or paper),WGS84 (from Digital Map),Corin Downs,Corin Downs,FLVOL03138,Cassen Park,,South Atlantic,FL,Volusia County,0,No,29.2866666666666,-81.0546388888888,43603,Halifax River,3138,325,5,1,First post on pier. Elevation 4.36 from levels (3.60+0.76).,29.2866666666666,-81.0546388888888,10/1/2022 4:00:00 AM,4.36,2,2,N/A,27059,,0.76,4,,,Riverine,10/1/2022 4:00:00 AM,0,4,101,101,,,HWM-2,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
28.623731,-80.795234,2022 Ian,Seed line,Fair: +/- 0.20 ft,NAVD88,Level Gun,Kevin Grimsley,,Phone/Car GPS,WGS84 (from Digital Map),Corey Whittaker,Corey Whittaker,FLBRE03165,Parrish Park Boat Ramp,,South Atlantic,FL,Brevard County,,Yes,28.62375,-80.7958,43604,Indian River,3165,325,5,3,Seaweed/debris line at boat ramp east of docks,28.623731,-80.795234,10/2/2022 4:00:00 AM,2.46,2,2,N/A,27074,,0,3,,,Coastal,10/2/2022 4:00:00 AM,0,4,82,82,,,HWM-1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
29.55924,-81.17557,2022 Ian,Debris,Fair: +/- 0.20 ft,NAVD88,Level Gun,Patrick Ryan,,Phone/Car GPS,WGS84 (from Digital Map),,Patrick Ryan,FLFLA03131,Waterfront Park,,South Atlantic,FL,Flagler County,0,Yes,29.5593888888888,-81.1755277777777,43638,Intracoastal Waterway,3131,325,2,3,"Debris line approximately 10 ft SE from dock, between 1st and 2nd piling from sidewalk.",29.55924,-81.17557,10/2/2022 5:00:00 AM,4.61,2,2,N/A,27041,,,3,,,Riverine,10/2/2022 5:00:00 AM,0,4,,85,,,HWM-1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
29.55923,-81.17546,2022 Ian,Debris,Fair: +/- 0.20 ft,NAVD88,Level Gun,Patrick Ryan,Paint,Phone/Car GPS,WGS84 (from Digital Map),Corey Whittaker,Corey Whittaker,FLFLA03131,Waterfront Park,,South Atlantic,FL,Flagler County,0,Yes,29.5593888888888,-81.1755277777777,43639,Intracoastal Waterway,3131,325,2,3,"Debris line on rip rap, approximately 50 ft SE of dock/walkway",29.55923,-81.17546,10/2/2022 5:00:00 AM,4.4,2,2,N/A,27040,3,,3,,,Riverine,10/2/2022 5:00:00 AM,0,4,82,82,,,HWM-2,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
30.510532,-81.459583,2022 Ian,Debris,Fair: +/- 0.20 ft,NAVD88,Level Gun,Patrick Ryan,,Phone/Car GPS,WGS84 (from Digital Map),,,FLDUV03108,Big Talbot Island State Park,,South Atlantic,FL,Duval County,0,Yes,30.5105277777777,-81.4608333333333,43642,Sawpit Creek,3108,325,2,3,Debris line on N end of road leading to water level sensor,30.510532,-81.459583,10/3/2022 4:00:00 AM,6.07,2,2,N/A,26974,,0,3,,,Coastal,10/3/2022 4:00:00 AM,0,4,,,,,HWM-1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
30.510451,-81.45958,2022 Ian,Debris,Fair: +/- 0.20 ft,NAVD88,Level Gun,Patrick Ryan,,Phone/Car GPS,WGS84 (from Digital Map),,,FLDUV03108,Big Talbot Island State Park,,South Atlantic,FL,Duval County,0,Yes,30.5105277777777,-81.4608333333333,43644,Sawpit Creek,3108,325,2,3,Debris line on South end of road leading to water level sensor,30.510451,-81.45958,10/3/2022 4:00:00 AM,6.11,2,2,N/A,26975,,,3,,,Coastal,10/3/2022 4:00:00 AM,0,4,,,,,HWM-2,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
26.282738,-81.802149,2022 Ian,Debris,Poor: +/- 0.40 ft,NAVD88,Level Gun,Kevin Grimsley,,Phone/Car GPS,WGS84 (from Digital Map),,Corin Downs,FLCOL03295,"US 41 bridge over the Cocahatchee River. During Wilma, sonde was deployed under the NW end af bridge. Sonde attached to the second piling in (from the downstream side) of the northern-most set of concrete bridge pilings, attached to the SW corner.",,Gulf of Mexico,FL,Collier County,,Yes,26.28272,-81.802,43669,Cocahatchee River,3295,325,2,4,Debris and seed line on the 2nd highest walkway. Runs the entire walkway,26.282738,-81.802149,10/2/2022 4:00:00 AM,7.17,2,2,N/A,27011,,5.5,3,,,Riverine,10/2/2022 4:00:00 AM,0,4,,101,,,HWM-1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
38.363146,-75.60698,2022 Ian,Stain line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,,Nail,RT-GNSS,NAD83,Chris Lewis,Chris Lewis,MDWIC32521,Bracket on bulkhead just south of Boat Ramp,Priority 1 (network or time critical),"North Atlantic, SWaTH",MD,Wicomico County,,Yes,38.36308,-75.60716,43750,Wicomico River,32521,325,6,2,,38.363146,-75.60698,10/5/2022 5:00:00 AM,3.31,2,6,N/A,,5,,6,,,Riverine,10/5/2022 5:00:00 AM,0,2,917,917,0.1,,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
