SOUTH FLORIDA WATER MANAGEMENT DISTRICT
NEXRAD QUERY RESULTS
Radar Rainfall in Inches

POLYGON, DATE, TIME, VALUE, FREQUENCY, QUALITY

8.5 SQ. MILE AREA, 09/28/2022, 0000,   0.091, H, NRT
8.5 SQ. MILE AREA, 09/28/2022, 0100,   0.003, H, NRT
8.5 SQ. MILE AREA, 09/28/2022, 0200,   0.000, H, NRT
8.5 SQ. MILE AREA, 09/28/2022, 0400,   0.006, H, NRT
8.5 SQ. MILE AREA, 09/28/2022, 1000,   0.008, H, NRT
8.5 SQ. MILE AREA, 09/28/2022, 1200,   0.015, H, NRT
8.5 SQ. MILE AREA, 09/28/2022, 1300,   0.002, H, NRT
8.5 SQ. MILE AREA, 09/28/2022, 1500,   0.051, H, NRT
A1 FEB, 09/28/2022, 0000,   0.247, H, NRT
A1 FEB, 09/28/2022, 0100,   0.688, H, NRT
A1 FEB, 09/28/2022, 0200,   0.306, H, NRT
A1 FEB, 09/28/2022, 0500,   0.018, H, NRT
A1 FEB, 09/28/2022, 0600,   0.003, H, NRT
A1 FEB, 09/28/2022, 1000,   0.117, H, NRT
A1 FEB, 09/28/2022, 1100,   0.001, H, NRT
A1 FEB, 09/28/2022, 1200,   0.006, H, NRT
A1 FEB, 09/28/2022, 1300,   0.000, H, NRT
A1 FEB, 09/28/2022, 1400,   0.012, H, NRT
A1 FEB, 09/28/2022, 1800,   0.001, H, NRT
ALLIGATOR LAKE, 09/28/2022, 0000,   0.003, H, NRT
ALLIGATOR LAKE, 09/28/2022, 0100,   0.106, H, NRT
ALLIGATOR LAKE, 09/28/2022, 0200,   0.111, H, NRT
ALLIGATOR LAKE, 09/28/2022, 0300,   0.088, H, NRT
ALLIGATOR LAKE, 09/28/2022, 0400,   0.108, H, NRT
ALLIGATOR LAKE, 09/28/2022, 0500,   0.199, H, NRT
ALLIGATOR LAKE, 09/28/2022, 0600,   0.077, H, NRT
ALLIGATOR LAKE, 09/28/2022, 0700,   0.110, H, NRT
ALLIGATOR LAKE, 09/28/2022, 0800,   0.090, H, NRT
ALLIGATOR LAKE, 09/28/2022, 0900,   0.047, H, NRT
ALLIGATOR LAKE, 09/28/2022, 1000,   0.109, H, NRT
ALLIGATOR LAKE, 09/28/2022, 1100,   0.005, H, NRT
ALLIGATOR LAKE, 09/28/2022, 1200,   0.012, H, NRT
ALLIGATOR LAKE, 09/28/2022, 1300,   0.038, H, NRT
ALLIGATOR LAKE, 09/28/2022, 1400,   1.366, H, NRT
ALLIGATOR LAKE, 09/28/2022, 1500,   0.906, H, NRT
ALLIGATOR LAKE, 09/28/2022, 1600,   0.072, H, NRT
ALLIGATOR LAKE, 09/28/2022, 1700,   0.001, H, NRT
ALLIGATOR LAKE, 09/28/2022, 1800,   0.041, H, NRT
ALLIGATOR LAKE, 09/28/2022, 1900,   0.227, H, NRT
ALLIGATOR LAKE, 09/28/2022, 2000,   0.516, H, NRT
ALLIGATOR LAKE, 09/28/2022, 2100,   0.697, H, NRT
ALLIGATOR LAKE, 09/28/2022, 2200,   0.498, H, NRT
ALLIGATOR LAKE, 09/28/2022, 2300,   1.784, H, NRT
ALLIGATOR LAKE, 09/29/2022, 0000,   0.685, H, NRT
ALLIGATOR LAKE, 09/29/2022, 0100,   0.181, H, NRT
ALLIGATOR LAKE, 09/29/2022, 0200,   0.190, H, NRT
ALLIGATOR LAKE, 09/29/2022, 0300,   0.063, H, NRT
ALLIGATOR LAKE, 09/29/2022, 0400,   0.000, H, NRT
ALLIGATOR LAKE, 09/29/2022, 0900,   0.000, H, NRT
ALLIGATOR LAKE, 09/29/2022, 1000,   0.010, H, NRT
ALLIGATOR LAKE, 09/29/2022, 1100,   0.033, H, NRT
ALLIGATOR LAKE, 09/29/2022, 1200,   0.071, H, NRT
ALLIGATOR LAKE, 09/29/2022, 1400,   0.002, H, NRT
ALLIGATOR LAKE, 09/30/2022, 2100,   0.003, H, NRT
ALLIGATOR LAKE, 09/30/2022, 2200,   0.001, H, NRT
ARBUCKLE CREEK, 09/28/2022, 0000,   0.065, H, NRT
ARBUCKLE CREEK, 09/28/2022, 0100,   0.037, H, NRT
ARBUCKLE CREEK, 09/28/2022, 0200,   0.105, H, NRT
ARBUCKLE CREEK, 09/28/2022, 0300,   0.244, H, NRT
ARBUCKLE CREEK, 09/28/2022, 0400,   0.169, H, NRT
ARBUCKLE CREEK, 09/28/2022, 0500,   0.178, H, NRT
ARBUCKLE CREEK, 09/28/2022, 0600,   0.070, H, NRT
ARBUCKLE CREEK, 09/28/2022, 0700,   0.080, H, NRT
ARBUCKLE CREEK, 09/28/2022, 0800,   0.117, H, NRT
ARBUCKLE CREEK, 09/28/2022, 0900,   0.039, H, NRT
ARBUCKLE CREEK, 09/28/2022, 1000,   0.128, H, NRT
ARBUCKLE CREEK, 09/28/2022, 1100,   0.438, H, NRT
ARBUCKLE CREEK, 09/28/2022, 1200,   0.111, H, NRT
ARBUCKLE CREEK, 09/28/2022, 1300,   0.006, H, NRT
ARBUCKLE CREEK, 09/28/2022, 1400,   0.005, H, NRT
ARBUCKLE CREEK, 09/28/2022, 1500,   0.102, H, NRT
ARBUCKLE CREEK, 09/28/2022, 1600,   0.118, H, NRT
ARBUCKLE CREEK, 09/28/2022, 1700,   0.260, H, NRT
ARBUCKLE CREEK, 09/28/2022, 1800,   0.313, H, NRT
ARBUCKLE CREEK, 09/28/2022, 1900,   0.644, H, NRT
ARBUCKLE CREEK, 09/28/2022, 2000,   1.179, H, NRT
ARBUCKLE CREEK, 09/28/2022, 2100,   1.084, H, NRT
ARBUCKLE CREEK, 09/28/2022, 2200,   0.550, H, NRT
ARBUCKLE CREEK, 09/28/2022, 2300,   0.037, H, NRT
ARBUCKLE CREEK, 09/29/2022, 0000,   0.000, H, NRT
ARBUCKLE CREEK, 09/29/2022, 0400,   0.000, H, NRT
ARBUCKLE CREEK, 09/29/2022, 0500,   0.007, H, NRT
ARBUCKLE CREEK, 09/29/2022, 0600,   0.012, H, NRT
ARBUCKLE CREEK, 09/29/2022, 0700,   0.006, H, NRT
ARBUCKLE CREEK, 09/29/2022, 0800,   0.010, H, NRT
ARBUCKLE CREEK, 10/01/2022, 0100,   0.002, H, NRT
BARRON RIVER, 09/28/2022, 0000,   0.042, H, NRT
BARRON RIVER, 09/28/2022, 0100,   0.001, H, NRT
BARRON RIVER, 09/28/2022, 0200,   0.002, H, NRT
BARRON RIVER, 09/28/2022, 0300,   0.029, H, NRT
BARRON RIVER, 09/28/2022, 0400,   0.017, H, NRT
BARRON RIVER, 09/28/2022, 0500,   0.050, H, NRT
BARRON RIVER, 09/28/2022, 0600,   0.033, H, NRT
BARRON RIVER, 09/28/2022, 0700,   0.015, H, NRT
BARRON RIVER, 09/28/2022, 0800,   0.251, H, NRT
BARRON RIVER, 09/28/2022, 0900,   0.419, H, NRT
BARRON RIVER, 09/28/2022, 1000,   0.029, H, NRT
BARRON RIVER, 09/28/2022, 1100,   0.164, H, NRT
BARRON RIVER, 09/28/2022, 1200,   0.026, H, NRT
BARRON RIVER, 09/28/2022, 1400,   0.018, H, NRT
BARRON RIVER, 09/28/2022, 1500,   0.000, H, NRT
BARRON RIVER, 09/28/2022, 1600,   0.006, H, NRT
BARRON RIVER, 09/28/2022, 1700,   0.007, H, NRT
BARRON RIVER, 09/28/2022, 1800,   0.115, H, NRT
BARRON RIVER, 09/28/2022, 1900,   0.040, H, NRT
BARRON RIVER, 09/28/2022, 2000,   0.007, H, NRT
BASIN 1, 09/28/2022, 0000,   0.051, H, NRT
BASIN 1, 09/28/2022, 0100,   0.077, H, NRT
BASIN 1, 09/28/2022, 0200,   0.054, H, NRT
BASIN 1, 09/28/2022, 0300,   0.202, H, NRT
BASIN 1, 09/28/2022, 0400,   0.307, H, NRT
BASIN 1, 09/28/2022, 0500,   0.037, H, NRT
BASIN 1, 09/28/2022, 0600,   0.761, H, NRT
BASIN 1, 09/28/2022, 0700,   0.345, H, NRT
BASIN 1, 09/28/2022, 0800,   0.114, H, NRT
BASIN 1, 09/28/2022, 0900,   0.084, H, NRT
BASIN 1, 09/28/2022, 1000,   0.009, H, NRT
BASIN 1, 09/28/2022, 1100,   0.008, H, NRT
BASIN 1, 09/28/2022, 1300,   0.004, H, NRT
BASIN 1, 09/28/2022, 1400,   0.037, H, NRT
BASIN 4, 09/28/2022, 0000,   0.015, H, NRT
BASIN 4, 09/28/2022, 0100,   0.078, H, NRT
BASIN 4, 09/28/2022, 0200,   0.120, H, NRT
BASIN 4, 09/28/2022, 0300,   0.582, H, NRT
BASIN 4, 09/28/2022, 0400,   0.091, H, NRT
BASIN 4, 09/28/2022, 0500,   0.460, H, NRT
BASIN 4, 09/28/2022, 0600,   1.090, H, NRT
BASIN 4, 09/28/2022, 0700,   0.302, H, NRT
BASIN 4, 09/28/2022, 0800,   0.010, H, NRT
BASIN 4, 09/28/2022, 0900,   0.015, H, NRT
BASIN 4, 09/28/2022, 1000,   0.035, H, NRT
BASIN 4, 09/28/2022, 1100,   0.001, H, NRT
BASIN 4, 09/28/2022, 1300,   0.034, H, NRT
BASIN 5, 09/28/2022, 0000,   0.017, H, NRT
BASIN 5, 09/28/2022, 0100,   0.092, H, NRT
BASIN 5, 09/28/2022, 0200,   0.195, H, NRT
BASIN 5, 09/28/2022, 0300,   0.112, H, NRT
BASIN 5, 09/28/2022, 0400,   0.108, H, NRT
BASIN 5, 09/28/2022, 0500,   0.417, H, NRT
BASIN 5, 09/28/2022, 0600,   1.020, H, NRT
BASIN 5, 09/28/2022, 0700,   0.296, H, NRT
BASIN 5, 09/28/2022, 0900,   0.024, H, NRT
BASIN 5, 09/28/2022, 1000,   0.036, H, NRT
BASIN 5, 09/28/2022, 1300,   0.040, H, NRT
BASIN 6, 09/28/2022, 0000,   0.014, H, NRT
BASIN 6, 09/28/2022, 0100,   0.110, H, NRT
BASIN 6, 09/28/2022, 0200,   0.128, H, NRT
BASIN 6, 09/28/2022, 0300,   0.476, H, NRT
BASIN 6, 09/28/2022, 0400,   0.087, H, NRT
BASIN 6, 09/28/2022, 0500,   0.537, H, NRT
BASIN 6, 09/28/2022, 0600,   0.991, H, NRT
BASIN 6, 09/28/2022, 0700,   0.273, H, NRT
BASIN 6, 09/28/2022, 0800,   0.002, H, NRT
BASIN 6, 09/28/2022, 0900,   0.020, H, NRT
BASIN 6, 09/28/2022, 1000,   0.041, H, NRT
BASIN 6, 09/28/2022, 1100,   0.000, H, NRT
BASIN 6, 09/28/2022, 1300,   0.043, H, NRT
BASIN 8, 09/28/2022, 0000,   0.044, H, NRT
BASIN 8, 09/28/2022, 0100,   0.162, H, NRT
BASIN 8, 09/28/2022, 0200,   0.044, H, NRT
BASIN 8, 09/28/2022, 0300,   0.430, H, NRT
BASIN 8, 09/28/2022, 0400,   0.104, H, NRT
BASIN 8, 09/28/2022, 0500,   0.085, H, NRT
BASIN 8, 09/28/2022, 1100,   0.073, H, NRT
BASIN 8, 09/28/2022, 1200,   0.013, H, NRT
BASIN 8, 09/28/2022, 1300,   0.009, H, NRT
BD-C103 CENTRAL, 09/28/2022, 0000,   0.013, H, NRT
BD-C103 CENTRAL, 09/28/2022, 0100,   0.020, H, NRT
BD-C103 CENTRAL, 09/28/2022, 0200,   0.005, H, NRT
BD-C103 CENTRAL, 09/28/2022, 0300,   0.003, H, NRT
BD-C103 CENTRAL, 09/28/2022, 0400,   0.001, H, NRT
BD-C103 CENTRAL, 09/28/2022, 0800,   0.002, H, NRT
BD-C103 CENTRAL, 09/28/2022, 1000,   0.000, H, NRT
BD-C103 CENTRAL, 09/28/2022, 1100,   0.002, H, NRT
BD-C103 CENTRAL, 09/28/2022, 1200,   0.034, H, NRT
BD-C103 CENTRAL, 09/28/2022, 1400,   0.002, H, NRT
BD-C103 CENTRAL, 09/28/2022, 1500,   0.097, H, NRT
BD-C103 CENTRAL, 09/28/2022, 1600,   0.004, H, NRT
BD-C103 CENTRAL, 09/28/2022, 1900,   0.006, H, NRT
BD-C103 CENTRAL, 10/02/2022, 0600,   0.003, H, NRT
BD-C103 EAST, 09/28/2022, 0000,   0.007, H, NRT
BD-C103 EAST, 09/28/2022, 0100,   0.017, H, NRT
BD-C103 EAST, 09/28/2022, 0200,   0.001, H, NRT
BD-C103 EAST, 09/28/2022, 1200,   0.036, H, NRT
BD-C103 EAST, 09/28/2022, 1500,   0.188, H, NRT
BD-C103 EAST, 09/28/2022, 1600,   0.051, H, NRT
BD-C103 EAST, 10/02/2022, 0600,   0.000, H, NRT
BD-C103 WEST, 09/28/2022, 0000,   0.009, H, NRT
BD-C103 WEST, 09/28/2022, 0100,   0.034, H, NRT
BD-C103 WEST, 09/28/2022, 0200,   0.012, H, NRT
BD-C103 WEST, 09/28/2022, 0300,   0.003, H, NRT
BD-C103 WEST, 09/28/2022, 0400,   0.006, H, NRT
BD-C103 WEST, 09/28/2022, 0800,   0.002, H, NRT
BD-C103 WEST, 09/28/2022, 1000,   0.001, H, NRT
BD-C103 WEST, 09/28/2022, 1100,   0.005, H, NRT
BD-C103 WEST, 09/28/2022, 1200,   0.003, H, NRT
BD-C103 WEST, 09/28/2022, 1400,   0.002, H, NRT
BD-C103 WEST, 09/28/2022, 1500,   0.027, H, NRT
BD-C103 WEST, 09/28/2022, 1600,   0.000, H, NRT
BD-C103 WEST, 09/28/2022, 1900,   0.005, H, NRT
BD-C103 WEST, 09/28/2022, 2100,   0.000, H, NRT
