SOUTH FLORIDA WATER MANAGEMENT DISTRICT
NEXRAD QUERY RESULTS
Radar Rainfall in Inches

POLYGON, DATE, TIME, VALUE, FREQUENCY, QUALITY

ALLIGATOR LAKE, 09/29/2022, 0000,   0.685, H, NRT
ALLIGATOR LAKE, 09/29/2022, 0100,   0.181, H, NRT
ALLIGATOR LAKE, 09/29/2022, 0200,   0.190, H, NRT
ALLIGATOR LAKE, 09/29/2022, 0300,   0.063, H, NRT
ALLIGATOR LAKE, 09/29/2022, 0400,   0.000, H, NRT
ALLIGATOR LAKE, 09/29/2022, 0900,   0.000, H, NRT
ALLIGATOR LAKE, 09/29/2022, 1000,   0.010, H, NRT
ALLIGATOR LAKE, 09/29/2022, 1100,   0.033, H, NRT
ALLIGATOR LAKE, 09/29/2022, 1200,   0.071, H, NRT
ALLIGATOR LAKE, 09/29/2022, 1400,   0.002, H, NRT
ALLIGATOR LAKE, 09/30/2022, 2100,   0.003, H, NRT
ALLIGATOR LAKE, 09/30/2022, 2200,   0.001, H, NRT
ARBUCKLE CREEK, 09/29/2022, 0000,   0.000, H, NRT
ARBUCKLE CREEK, 09/29/2022, 0400,   0.000, H, NRT
ARBUCKLE CREEK, 09/29/2022, 0500,   0.007, H, NRT
ARBUCKLE CREEK, 09/29/2022, 0600,   0.012, H, NRT
ARBUCKLE CREEK, 09/29/2022, 0700,   0.006, H, NRT
ARBUCKLE CREEK, 09/29/2022, 0800,   0.010, H, NRT
ARBUCKLE CREEK, 10/01/2022, 0100,   0.002, H, NRT
BD-C103 CENTRAL, 10/02/2022, 0600,   0.003, H, NRT
BD-C103 EAST, 10/02/2022, 0600,   0.000, H, NRT
BD-C103 WEST, 10/02/2022, 0600,   0.001, H, NRT
BOGGY CREEK, 09/29/2022, 0000,   0.935, H, NRT
BOGGY CREEK, 09/29/2022, 0100,   2.299, H, NRT
BOGGY CREEK, 09/29/2022, 0200,   1.059, H, NRT
BOGGY CREEK, 09/29/2022, 0300,   0.380, H, NRT
BOGGY CREEK, 09/29/2022, 0400,   0.351, H, NRT
BOGGY CREEK, 09/29/2022, 0500,   0.035, H, NRT
BOGGY CREEK, 09/29/2022, 0600,   0.006, H, NRT
BOGGY CREEK, 09/29/2022, 0700,   0.010, H, NRT
BOGGY CREEK, 09/29/2022, 0800,   0.002, H, NRT
